"","language"
"1","AFRIKAANS"
"2","ARABIC"
"3","ARMENIAN"
"4","AZERBAIJANI"
"5","BASQUE"
"6","BOSNIAN"
"7","BULGARIAN"
"8","CATALAN"
"9","CHINESE"
"10","CZECH"
"11","DANISH"
"12","DUTCH"
"13","ENGLISH"
"14","ESTONIAN"
"15","FINNISH"
"16","FRENCH"
"17","GERMAN"
"18","IRISH"
"19","GALICIAN"
"20","GREEK"
"21","HEBREW"
"22","HUNGARIAN"
"23","ICELANDIC"
"24","INDONESIAN"
"25","ITALIAN"
"26","JAPANESE"
"27","KOREAN"
"28","LATVIAN"
"29","LITHUANIAN"
"30","MACEDONIAN"
"31","MAORI"
"32","MALAY"
"33","NORWEGIAN"
"34","PERSIAN"
"35","POLISH"
"36","PORTUGUESE"
"37","ROMANIAN"
"38","RUSSIAN"
"39","SERBIAN"
"40","CROATIAN"
"41","SLOVAK"
"42","SLOVENIAN"
"43","SPANISH"
"44","SWEDISH"
"45","THAI"
"46","TURKISH"
"47","UKRAINIAN"
